-1.000000e+00 1.000000e+00 -6.055684e-05 -9.865439e+00
-9.510565e-01 9.882021e-01 -4.811227e-01 -9.752931e+00
-8.090170e-01 8.253408e-01 -1.773878e+00 -8.145788e+00
-5.877853e-01 2.723028e-01 -3.022858e+00 -2.687565e+00
-3.090170e-01 -5.646349e-01 -2.592894e+00 5.572783e+00
-6.123234e-17 -1.000000e+00 2.220446e-16 9.869540e+00
3.090170e-01 -5.646349e-01 2.592894e+00 5.572783e+00
5.877853e-01 2.723028e-01 3.022858e+00 -2.687565e+00
8.090170e-01 8.253408e-01 1.773878e+00 -8.145788e+00
9.510565e-01 9.882021e-01 4.811227e-01 -9.752931e+00
1.000000e+00 1.000000e+00 6.055684e-05 -9.865439e+00

